Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2024-01-01,Ferrari,SF90 XX Stradale,Two-seater,147,3,8,AM8,B/Z*,5.3 ([47.1 kWh + 0.0 L]/100 km),13,2,Z,15,12,13,497,258,4,5
2024-01-01,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2,4,AV,B/X*,2.3 ([20.6 kWh + 0.0 L]/100 km),60,3,X,5,6,5,771,49,10,8
2024-01-01,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,2.9 ([25.9 kWh + 0.0 L]/100 km),53,1,X,6,6,6,626,62,9,7
2024-01-01,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2,4,A8,B/X*,4.2 ([36.0 kWh + 0.0 L]/100 km),42,3,X,10,9,10,719,110,8,7
2024-01-01,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2,4,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2,X,11,11,11,557,143,7,7
2024-01-01,Kia,Niro Plug-in Hybrid,Sport utility vehicle: Small,62,1,4,AM6,B/X*,2.1 ([19.1 kWh + 0.0 L]/100 km),55,2,X,4,4,4,781,42,10,7
2024-01-01,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,3.0 ([26.4 kWh + 0.0 L]/100 km),51,3,X,6,7,6,681,65,9,7
2024-01-01,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),55,2,X,6,6,6,632,60,10,7
2024-01-01,Lamborghini,Revuelto,Two-seater,110,6,12,AM8,B/Z,10.4 ([49.7 kWh + 6.1 L]/100 km),8,2,Z,24,14,19,365,472,1,3
2024-01-01,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2,4,AV6,B/Z*,2.8 ([24.7 kWh + 0.0 L]/100 km),61,4,Z,6,7,6,835,54,10,7
2024-01-01,Lexus,RX 450h+ AWD,Sport utility vehicle: Standard,134,2,4,AV6,B/Z*,2.8 ([25.0 kWh + 0.0 L]/100 km),60,2,Z,6,7,6,818,55,10,7
2024-01-01,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2,4,AV,B/X*,3.0 ([26.4 kWh + 0.0 L]/100 km),45,3,X,6,7,7,642,74,9,8
2024-01-01,Mazda,CX-90 PHEV 4WD,Sport utility vehicle: Standard,68,2,4,AS8,B/Z,4.2 ([36.0 kWh + 0.2 L]/100 km),42,2,Z,9,8,9,747,105,8,7
2024-01-01,Mercedes-Benz,GLE 450e 4MATIC SUV,Sport utility vehicle: Standard,100,2,4,A9,B/Z*,4.1 ([36.4 kWh + 0.0 L]/100 km),77,2,Z,10,9,9,663,63,9,7
2024-01-01,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,110,3,6,A9,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),74,2,Z,11,8,10,687,69,9,7
2024-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Standard,100,2,4,A1,B/X*,3.6 ([32.1 kWh + 0.0 L]/100 km),61,6,X,9,8,9,626,70,9,7
2024-01-01,Toyota,Prius Prime SE,Mid-size,120,2,4,AV,B/X*,1.8 ([16.4 kWh + 0.0 L]/100 km),72,4,X,4,4,4,890,31,10,7
2024-01-01,Toyota,Prius Prime XSE,Mid-size,120,2,4,AV,B/X*,2.1 ([18.3 kWh + 0.0 L]/100 km),64,4,X,4,5,4,826,37,10,7
2024-01-01,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2,4,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68,4,X,5,6,6,911,44,10,7
2024-01-01,Volvo,S60 T8 AWD Recharge,Compact,107,2,4,AS8,B/Z*,3.0 ([27.2 kWh + 0.0 L]/100 km),64,5,Z,8,7,7,792,58,10,7
2024-01-01,Volvo,S90 T8 AWD Recharge,Mid-size,107,2,4,AS8,B/Z*,3.4 ([30.0 kWh + 0.0 L]/100 km),61,5,Z,8,7,8,748,65,9,7
2024-01-01,Volvo,V60 T8 AWD Recharge,Station wagon: Small,107,2,4,AS8,B/Z*,3.0 ([27.2 kWh + 0.0 L]/100 km),64,5,Z,8,7,7,792,58,10,7
2024-01-01,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,107,2,4,AS8,B/Z*,3.5 ([31.2 kWh + 0.0 L]/100 km),58,5,Z,8,8,8,838,72,9,7
2024-01-01,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,107,2,4,AS8,B/Z*,3.8 ([34.4 kWh + 0.0 L]/100 km),53,5,Z,9,8,8,803,82,9,7
