Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2019-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8,7,8,784,74,10,7
2019-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2,X,5,5,5,940,61,10,7
2019-01-01,Honda,Clarity Plug-in Hybrid,Mid-size,135,1,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2,X,5,5,5,475,36,10,8
2019-01-01,Hyundai,IONIQ Electric Plus,Mid-size,45,1,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2,X,4,4,4,961,46,10,7
2019-01-01,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.4 ([20.9 kWh + 0.0 L]/100 km),45,2,X,6,5,6,925,62,10,7
2019-01-01,Karma,Revero,Subcompact,300,2,4,A1,B,3.9 (34.7 kWh/100 km),60,3,Z,11,11,11,328,94,10,1
2019-01-01,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2,X,4,5,5,853,56,10,7
2019-01-01,Kia,Optima Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2,X,6,5,5,937,60,10,7
2019-01-01,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,85,2,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1,Z,9,8,9,541,146,9,7
2019-01-01,MINI,Cooper SE Countryman ALL4,Mid-size,65,1,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8,8,8,420,139,9,3
2019-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3,X,9,9,9,463,108,10,7
2019-01-01,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3,6,AS8,B,5.1 (44.8 kWh/100 km),21,3,Z,11,10,11,669,177,7,3
2019-01-01,Porsche,Panamera 4 E-Hybrid,Full-size,70,2,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11,9,10,768,158,8,5
2019-01-01,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12,10,11,695,180,7,3
2019-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,7
2019-01-01,Volvo,S90 T8 AWD,Mid-size,65,2,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8,7,8,753,100,10,7
2019-01-01,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2,4,AS8,B/Z*,3.8 ([34.0 kWh + 0.0 L]/100 km),27,3,Z,9,8,9,779,128,9,7
2019-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,3.9 ([34.3 kWh + 0.0 L]/100 km),27,3,Z,9,8,9,756,132,9,7
2020-01-01,Audi,Q5 TFSIe,Sport utility vehicle: Small,105,2,4,AM7,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),32,2,Z,9,8,8,615,103,10,7
2020-01-01,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3,6,AS8,B/Z,5.2 ([44.2 kWh + 0.3 L]/100 km),29,3,Z,13,11,12,602,153,8,3
2020-01-01,BMW,530e,Compact,83,2,4,AS8,B/Z*,3.4 ([29.1 kWh + 0.0 L]/100 km),34,3,Z,9,7,8,533,106,10,7
2020-01-01,BMW,530e xDrive,Compact,83,2,4,AS8,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),31,3,Z,10,8,9,500,120,10,7
2020-01-01,BMW,745Le xDrive,Full-size,83,3,6,AS8,B/Z*,4.2 ([37.7 kWh + 0.0 L]/100 km),26,3,Z,12,9,10,435,152,8,3
2020-01-01,BMW,i3 REx (120 Ah),Subcompact,125,0,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7,7,7,116,14,10,7
2020-01-01,BMW,i3s REx (120 Ah),Subcompact,135,0,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7,7,7,116,14,10,7
2020-01-01,BMW,i8 Coupe,Subcompact,105,1,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,488,118,10,3
2020-01-01,BMW,i8 Roadster,Two-seater,105,1,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,488,118,10,3
2020-01-01,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2,4,AS8,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),29,3,Z,11,8,9,512,127,9,7
2020-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8,7,8,784,74,10,7
2020-01-01,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),60,3,X,5,6,5,790,48,10,7
2020-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2,X,5,5,5,940,61,10,7
2020-01-01,Honda,Clarity Plug-in Hybrid,Mid-size,135,1,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2,X,5,5,5,475,36,10,8
2020-01-01,Hyundai,IONIQ Electric Plus,Mid-size,45,1,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2,X,4,4,4,961,46,10,7
2020-01-01,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2,X,4,5,5,853,56,10,7
2020-01-01,Kia,Optima Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.3 ([20.7 kWh + 0.0 L]/100 km),45,2,X,6,5,5,962,60,10,7
2020-01-01,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3,6,AS10,B/X*,4.2 ([37.5 kWh + 0.0 L]/100 km),34,3,X,10,9,10,713,130,9,7
2020-01-01,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,90,2,4,A9,B/Z*,3.4 ([30.8 kWh + 0.0 L]/100 km),35,1,Z,10,8,9,538,109,10,5
2020-01-01,Mercedes-Benz,S 560e,Full-size,90,3,6,A9,B/Z*,3.7 ([32.7 kWh + 0.0 L]/100 km),31,1,Z,11,9,10,785,127,9,3
2020-01-01,MINI,Cooper SE Countryman ALL4,Mid-size,65,1,3,AS6,B/Z*,3.2 ([28.6 kWh + 0.0 L]/100 km),29,3,Z,8,7,8,451,109,10,3
2020-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3,X,9,9,9,463,108,10,7
2020-01-01,Porsche,Panamera 4 E-Hybrid,Full-size,70,2,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11,9,10,768,158,8,5
2020-01-01,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12,10,11,695,180,7,3
2020-01-01,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6,6,6,747,94,10,6
2020-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,7
2020-01-01,Volvo,S60 T8 AWD,Compact,65,2,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8,7,7,781,94,10,7
2020-01-01,Volvo,S90 T8 AWD,Mid-size,65,2,4,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34,3,Z,8,7,7,761,99,10,7
2020-01-01,Volvo,V60 T8 AWD,Station wagon: Small,65,2,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8,7,7,781,94,10,7
2020-01-01,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2,4,AS8,B/Z*,4.2 ([38.2 kWh + 0.0 L]/100 km),27,3,Z,9,8,9,781,128,9,7
2020-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,813,120,10,7
2021-01-01,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,105,2,4,AM7,B/Z,3.5 ([28.7 kWh + 0.2 L]/100 km),39,2,Z,8,7,8,668,87,10,7
2021-01-01,Audi,A8 L Sedan 60 TFSI e quattro,Full-size,100,3,6,AS8,B/Z*,4.4 ([39.2 kWh + 0.0 L]/100 km),29,2,Z,11,9,10,639,132,8,3
2021-01-01,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2,4,AM7,B/Z,4.7 ([27.5 kWh + 1.5 L]/100 km),31,2,Z,9,8,8,608,103,10,7
2021-01-01,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3,6,AS8,B/Z*,5.1 ([45.5 kWh + 0.0 L]/100 km),29,3,Z,13,11,12,599,159,7,3
2021-01-01,BMW,330e,Compact,83,2,4,AS8,B/Z*,3.1 ([27.8 kWh + 0.0 L]/100 km),37,3,Z,9,7,8,486,100,10,3
2021-01-01,BMW,330e xDrive,Compact,83,2,4,AS8,B/Z*,3.5 ([31.5 kWh + 0.0 L]/100 km),32,3,Z,10,7,9,436,119,9,3
2021-01-01,BMW,530e,Mid-size,83,2,4,AS8,B/Z,3.7 ([30.3 kWh + 0.2 L]/100 km),34,3,Z,9,8,8,520,111,9,7
2021-01-01,BMW,530e xDrive,Mid-size,83,2,4,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10,8,9,486,126,9,7
2021-01-01,BMW,745Le xDrive,Full-size,83,3,6,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27,3,Z,12,9,10,435,152,8,3
2021-01-01,BMW,i3 REx (120 Ah),Subcompact,125,0,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7,7,7,116,14,10,7
2021-01-01,BMW,i3s REx (120 Ah),Subcompact,135,0,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7,7,7,116,14,10,7
2021-01-01,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2,4,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29,3,Z,11,8,9,512,127,9,7
2021-01-01,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3,6,AS8,B/Z,4.7 ([38.8 kWh + 0.3 L]/100 km),50,5,Z,12,10,11,600,111,9,7
2021-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8,7,8,784,74,10,7
2021-01-01,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2,4,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60,3,X,5,6,5,784,48,10,7
2021-01-01,Honda,Clarity Plug-in Hybrid,Mid-size,135,1,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2,X,5,5,5,475,36,10,8
2021-01-01,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45,1,4,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47,2,X,4,4,4,954,46,10,7
2021-01-01,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2,4,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2,X,11,11,11,557,143,8,5
2021-01-01,Karma,"\"GS-6 (21\"\" Wheels)\"",Subcompact,400,1,3,A1,B,3.4 (29.9 kWh/100 km),98,6,Z,8,9,9,428,44,10,7
2021-01-01,Karma,"\"GS-6 (22\"\" Wheels)\"",Subcompact,400,1,3,A1,B,3.8 (33.7 kWh/100 km),87,6,Z,10,11,10,360,60,10,7
2021-01-01,Karma,"\"Revero GT (21\"\" Wheels)\"",Subcompact,400,1,3,A1,B,3.4 (29.9 kWh/100 km),98,6,Z,8,9,9,428,44,10,7
2021-01-01,Karma,"\"Revero GT (22\"\" Wheels)\"",Subcompact,400,1,3,A1,B,3.8 (33.7 kWh/100 km),87,6,Z,10,11,10,360,60,10,7
2021-01-01,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2,X,4,5,5,853,56,10,7
2021-01-01,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3,6,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34,3,X,10,9,10,713,130,9,7
2021-01-01,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2,4,AV,B/X*,3.0 ([26.9 kWh + 0.0 L]/100 km),45,3,X,6,7,7,644,73,10,7
2021-01-01,MINI,Cooper SE Countryman ALL4,Mid-size,65,1,3,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29,3,Z,8,7,8,451,109,9,3
2021-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,70,2,4,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39,4,X,9,9,9,470,103,10,7
2021-01-01,Polestar,1,Minicompact,170,2,4,AS8,B/Z*,3.9 ([35.4 kWh + 0.0 L]/100 km),84,9,Z,10,7,9,671,54,10,5
2021-01-01,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3,6,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27,3,Z,11,10,11,666,160,7,5
2021-01-01,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,99,4,8,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24,3,Z,13,12,13,578,199,6,3
2021-01-01,Porsche,Panamera 4 E-Hybrid,Full-size,70,2,6,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31,3,Z,11,10,10,745,144,8,5
2021-01-01,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4,8,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27,3,Z,13,10,12,665,171,7,3
2021-01-01,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6,6,6,747,94,10,6
2021-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,7
2021-01-01,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2,4,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68,4,X,5,6,6,911,44,10,7
2021-01-01,Volvo,S60 T8 AWD,Compact,65,2,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8,7,7,781,94,10,7
2021-01-01,Volvo,S90 T8 AWD,Mid-size,65,2,4,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34,3,Z,8,7,7,761,99,10,7
2021-01-01,Volvo,V60 T8 AWD,Station wagon: Small,65,2,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8,7,7,781,94,10,7
2021-01-01,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),31,3,Z,9,8,9,769,125,9,7
2021-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,813,120,9,7
2022-01-01,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,105,2,4,AM7,B/Z*,3.4 ([29.9 kWh + 0.0 L]/100 km),42,3,Z,9,7,8,623,78,10,7
2022-01-01,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2,4,AM7,B/Z*,3.9 ([34.7 kWh + 0.0 L]/100 km),37,3,Z,9,8,9,594,92,10,7
2022-01-01,Bentley,Flying Spur Hybrid,Mid-size,103,2,6,AM8,B/Z*,5.1 ([45.9 kWh + 0.0 L]/100 km),34,3,Z,13,10,12,653,156,7,5
2022-01-01,BMW,330e Sedan,Compact,83,2,4,AS8,B/Z*,3.1 ([27.8 kWh + 0.0 L]/100 km),37,3,Z,9,7,8,486,100,9,7
2022-01-01,BMW,330e xDrive,Compact,83,2,4,AS8,B/Z*,3.5 ([31.3 kWh + 0.0 L]/100 km),32,3,Z,10,7,9,436,119,9,7
2022-01-01,BMW,530e xDrive,Mid-size,83,2,4,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10,8,9,486,126,8,7
2022-01-01,BMW,745Le xDrive,Full-size,83,3,6,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27,3,Z,12,9,10,435,152,7,3
2022-01-01,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2,4,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29,3,Z,11,8,9,512,127,8,7
2022-01-01,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3,6,AS8,B/Z*,4.5 ([39.2 kWh + 0.0 L]/100 km),50,5,Z,12,10,11,602,110,9,7
2022-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8,7,8,784,74,10,7
2022-01-01,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2,4,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60,3,X,5,6,5,784,48,10,7
2022-01-01,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45,1,4,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47,2,X,4,4,4,954,46,10,7
2022-01-01,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,3.1 ([27.5 kWh + 0.0 L]/100 km),50,3,X,7,7,7,655,69,10,7
2022-01-01,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,2.9 ([25.9 kWh + 0.0 L]/100 km),53,1,X,6,6,6,626,62,10,7
2022-01-01,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2,4,A8,B/X*,4.2 ([36.0 kWh + 0.0 L]/100 km),42,3,X,10,9,10,719,110,9,7
2022-01-01,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2,4,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2,X,11,11,11,557,143,8,5
2022-01-01,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2,X,4,5,5,853,56,10,7
2022-01-01,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,3.0 ([26.4 kWh + 0.0 L]/100 km),51,3,X,6,7,6,681,65,10,7
2022-01-01,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2,4,AV6,B/Z*,2.8 ([24.7 kWh + 0.0 L]/100 km),61,4,Z,6,7,6,835,54,10,7
2022-01-01,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,62,3,6,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34,3,X,10,9,10,713,130,8,7
2022-01-01,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2,4,AV,B/X*,3.1 ([27.3 kWh + 0.0 L]/100 km),45,3,X,6,7,7,645,74,10,7
2022-01-01,MINI,Cooper SE Countryman ALL4,Mid-size,65,1,3,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29,3,Z,8,7,8,451,109,9,3
2022-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,70,2,4,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39,4,X,9,9,9,470,103,9,7
2022-01-01,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3,6,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27,3,Z,11,10,11,666,160,7,5
2022-01-01,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,99,4,8,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24,3,Z,13,12,13,578,199,6,3
2022-01-01,Porsche,Panamera 4 E-Hybrid,Full-size,70,2,6,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31,3,Z,11,10,10,745,144,8,5
2022-01-01,Porsche,Panamera 4S E-Hybrid,Full-size,70,2,6,AM8,B/Z*,4.7 ([40.9 kWh + 0.0 L]/100 km),31,3,Z,11,10,10,742,147,8,5
2022-01-01,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4,8,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27,3,Z,13,10,12,665,171,7,3
2022-01-01,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6,6,6,747,94,10,6
2022-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,7
2022-01-01,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2,4,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68,4,X,5,6,6,911,44,10,7
2022-01-01,Volvo,S60 T8 AWD Recharge,Compact,65,2,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8,7,7,781,94,10,7
2022-01-01,Volvo,S60 T8 AWD Recharge Extended Range,Compact,107,2,4,AS8,B/Z*,3.0 ([27.2 kWh + 0.0 L]/100 km),64,5,Z,8,7,7,792,58,10,7
2022-01-01,Volvo,S90 T8 AWD Recharge,Mid-size,65,2,4,AS8,B/Z*,3.5 ([31.8 kWh + 0.0 L]/100 km),34,3,Z,8,7,7,761,100,9,7
2022-01-01,Volvo,S90 T8 AWD Recharge Extended Range,Mid-size,107,2,4,AS8,B/Z*,3.4 ([30.0 kWh + 0.0 L]/100 km),61,5,Z,8,7,8,748,65,10,7
2022-01-01,Volvo,V60 T8 AWD Recharge,Station wagon: Small,65,2,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8,7,7,781,94,10,7
2022-01-01,Volvo,V60 T8 AWD Recharge Extended Range,Station wagon: Small,107,2,4,AS8,B/Z*,3.0 ([27.2 kWh + 0.0 L]/100 km),64,5,Z,8,7,7,792,58,10,7
2022-01-01,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,65,2,4,AS8,B/Z*,3.9 ([35.1 kWh + 0.0 L]/100 km),31,3,Z,9,8,9,769,126,8,7
2022-01-01,Volvo,XC60 T8 AWD Recharge Extended Range,Sport utility vehicle: Small,107,2,4,AS8,B/Z*,3.5 ([31.2 kWh + 0.0 L]/100 km),58,5,Z,8,8,8,838,72,10,7
2022-01-01,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,813,120,9,7
2022-01-01,Volvo,XC90 T8 AWD Recharge Extended Range,Sport utility vehicle: Standard,107,2,4,AS8,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),58,5,Z,9,8,8,798,78,10,7
2023-01-01,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,105,2,4,AM7,B/Z*,3.9 ([34.8 kWh + 0.0 L]/100 km),37,3,Z,9,8,9,600,92,9,7
2023-01-01,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,100,3,6,AS8,B/Z*,5.0 ([44.2 kWh + 0.0 L]/100 km),31,3,Z,13,9,11,652,138,7,3
2023-01-01,Bentley,Flying Spur Hybrid,Mid-size,103,2,6,AM8,B/Z*,5.1 ([45.9 kWh + 0.0 L]/100 km),34,3,Z,13,10,12,653,156,7,5
2023-01-01,BMW,330e Sedan,Compact,80,2,4,AS8,B/Z*,3.2 ([28.2 kWh + 0.0 L]/100 km),35,3,Z,9,7,8,468,98,9,7
2023-01-01,BMW,330e xDrive Sedan,Compact,80,2,4,AS8,B/Z*,3.4 ([29.5 kWh + 0.0 L]/100 km),34,3,Z,10,7,9,452,107,9,7
2023-01-01,BMW,530e xDrive Sedan,Mid-size,80,2,4,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10,8,9,486,126,8,7
2023-01-01,BMW,X3 xDrive30e,Sport utility vehicle: Small,80,2,4,AS8,B/Z*,3.9 ([34.7 kWh + 0.0 L]/100 km),29,3,Z,11,8,10,502,129,8,7
2023-01-01,BMW,X5 xDrive45e,Sport utility vehicle: Standard,83,3,6,AS8,B/Z*,4.5 ([39.2 kWh + 0.0 L]/100 km),50,5,Z,12,10,11,602,110,8,7
2023-01-01,BMW,XM,Sport utility vehicle: Standard,145,4,8,AS8,B/Z*,5.1 ([45.5 kWh + 0.0 L]/100 km),50,7,Z,19,13,17,431,152,7,7
2023-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8,7,8,784,74,10,7
2023-01-01,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2,4,AV,B/X*,2.3 ([20.6 kWh + 0.0 L]/100 km),60,3,X,5,6,5,771,49,10,8
2023-01-01,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,3.1 ([27.5 kWh + 0.0 L]/100 km),50,3,X,7,7,7,655,69,10,7
2023-01-01,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,2.9 ([25.9 kWh + 0.0 L]/100 km),53,1,X,6,6,6,626,62,10,7
2023-01-01,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,100,2,4,A8,B/X*,4.2 ([36.0 kWh + 0.0 L]/100 km),42,3,X,10,9,10,719,110,8,7
2023-01-01,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2,4,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2,X,11,11,11,557,143,7,5
2023-01-01,Kia,Niro Plug-in Hybrid,Station wagon: Small,62,1,4,AM6,B/X*,2.1 ([19.2 kWh + 0.0 L]/100 km),55,2,X,4,4,4,781,42,10,7
2023-01-01,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1,4,AM6,B/X*,3.0 ([26.4 kWh + 0.0 L]/100 km),51,3,X,6,7,6,681,65,10,7
